GENE_NAME	human	human	cow	cow	cow	marmoset	marmoset	dog	armadillo	gorilla	gorilla	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musSpretus	musSpretus	musSpretus	musCaroli	musCaroli	musCaroli	musCaroli	opossum	opossum	opossum	ferret	rabbit	chimp	chimp	bonobo	bonobo	orangutan	orangutan
RNU1-93P	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0	0
RRN3	10.93	4.32	12.97	10.49	8.1	0	0.08	8.32	6.41	15.33	13.58	7.88	17.03	17.3	23.81	9.54	11.53	5.53	3.92	4.3	1.29	1.5	1.6	1.16	4.22	8.42	11.84	18.12	6.8	7.2	12.27	12.7	9.93	16.93	20.55
WNT11	2.36	0.11	0.6	0.35	0.78	0.44	2.03	0.12	0.04	0.05	0.03	0.11	0.07	0.1	0	0.13	0	0	0	0	0	0	0	0	0.43	0.41	0.24	0.33	0.16	0	0.04	0.41	0.07	2.26	0.82
MTIF2	10.04	8.13	5.27	4.14	3.41	9.6	14.23	4.52	9.86	18.02	17.19	12.09	15.09	14.77	19.2	16.4	12.8	10.68	5.22	8.24	7.32	7.17	5.86	7.16	3.23	4.09	9.51	19.89	3.8	8.75	12.58	11.6	10.1	8.06	8.48
SNORD52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-967P	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0	0
RNA5SP363	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0
EPS15	8.79	4.14	25.6	23.86	24.19	33.57	19.61	21.98	6.5	8.93	6.32	14.4	27.95	19.07	20.03	13.47	12.32	8.43	5.93	7.56	5.73	5.34	4.1	6.04	15.4	30.08	7.28	28.77	18.62	6.2	9.39	11.53	10.13	5.42	5.6
RNU6-619P	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	0
ORC1	0.14	0.21	0.33	0.2	0.12	0.75	0.42	0.15	0.02	2.39	2.25	0.16	0.08	0.02	0.15	0.02	0.02	0.16	0	0	0.03	0	0	0.15	1.36	0.48	0.04	2.63	0.78	1.83	1.92	1.45	2.04	0.03	0.28
RNU6-580P	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0	0
SNORD38A	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.55	0	NA	0	0	0	0	0	0	0
MGST2	98.74	114.81	75.97	54.68	45.32	62.12	74.57	0	0.09	81.92	98.61	1.63	0.88	0.89	0.4	0.23	0.47	299.97	227.89	201.26	0.16	0.86	0.56	2.07	0	0	0.12	107.22	0	65.66	23.09	122.43	113.35	149.88	120.77
CHERP	25.89	13.98	5.76	5.12	10.5	NA	NA	5.85	NA	3.39	6.47	12.29	20.88	15.66	13.77	15.92	3.53	12.74	22.63	12.83	12.2	15.52	25.73	24.81	10.14	16.3	7.6	14.53	NA	15.33	11.17	5.64	5.33	6.86	4.17
7SK	16.53	170.35	56.61	140.37	152.51	20.41	20.97	NA	NA	65.63	13.84	0	0	0	0	0	0	0	0	0	0	0	0	0	446.11	40.29	159.66	NA	NA	NA	NA	NA	NA	12.04	57.25
POMGNT1	21.57	17.3	12.75	19.96	23.51	22.1	15.17	4.29	7.63	9.03	12.74	9	18.04	13.05	15.22	14.04	7.86	15.62	5.84	7.87	8.22	9.78	9.31	8.68	13.68	15.82	7.22	16.66	11.83	14.69	22.05	14.21	9.46	14.78	8.23
RAD54L	0.13	0.43	1.28	1.12	1.55	1.7	1.8	0.09	0.17	0.2	0.18	0.25	0.07	0.48	0.29	0.2	0.12	0.28	0.08	0.15	0.38	1.06	0.26	0.11	1.78	2.03	0.67	0.98	0.73	0.04	0.62	0.25	0.3	0.1	0.15
SNORD82	0	0	NA	NA	NA	0	0	0	NA	0	0	0	0	2.45	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA
B4GALT1	23.88	17.46	39.44	56.51	36.54	31.78	25.37	90.73	43.92	33.2	46.98	11.76	27.54	35.23	19.64	14.98	14.33	16.66	15.87	12.36	9.11	7.75	12.52	11.9	14.54	24.36	19.85	50.43	62.39	78.02	104.35	44.36	44.88	32.41	55.48
CHMP5	16.62	18.22	66.19	53.38	44.69	41.44	46.33	NA	43.56	22.7	21.66	37.05	31.99	44.6	35.7	32.84	34.83	36.9	20.68	27.94	25.43	31.12	27.58	32.39	5.67	6.26	10.02	73.39	14.93	22.39	26.76	16.65	19.88	25.45	30.87
RNU4-2	0	70.28	0	0	0.96	0	1.64	NA	NA	NA	NA	1.63	69.83	0	0	0.14	0.5	4.54	7.48	13.19	0	3.47	1.62	0	153.34	1.49	0	NA	NA	NA	NA	NA	NA	0	3.28
EFCAB2	3.5	2.2	2.54	2.18	2.14	11.61	7.57	1.66	0.58	NA	NA	2.3	1.13	1.9	1.03	1.13	0.65	1.59	1.22	0.72	0.22	0.4	0.5	0.75	14.38	20.13	16.73	0.78	0.73	1.15	1.44	0.52	0.83	0.68	0.36
COX20	19.29	17.94	31.66	29.11	16.61	45.71	48.48	NA	NA	16.87	15.25	24.98	22.33	30.66	36.42	35.75	30.09	33.37	26.85	19.03	20.96	24.19	20.91	29.22	5.06	10.51	12.16	1.57	27.88	16.29	11.41	24.29	22.06	18.35	13.28
NFX1	14.78	8.7	28.89	23.2	24.73	6.91	4.25	6.18	4.13	8.3	6.67	18.12	21.97	26.88	33.55	24.26	17.78	10.97	5.43	7.99	11.11	10.39	12.36	11.58	3.14	4.49	4.89	7.71	12.45	6.74	10.17	7.59	7.91	10.5	9
STUM	0.22	0.06	0	0.17	0.22	0	0	0	NA	0.27	0.32	0.01	0.07	0.03	0.06	0.08	0	0.24	0.29	0.37	0.52	0.58	0.67	0.45	0.72	0.51	0.46	NA	1.12	2.51	0.14	0	0.14	0.23	0
CAPN8	1.31	0.44	0.93	1.12	0.78	0	0	0	0.11	0.07	0	13.17	0.83	0.12	2.09	2.72	3.69	27.97	13.09	14.58	0	0	0.06	0	0.06	0	0	0	0	NA	NA	NA	NA	0.04	0
TATDN3	3.91	3.36	12.81	11.12	10.2	10.7	14.87	4.41	2.82	3.94	4.55	3.74	6.01	5.47	4.54	5.54	4.54	5.64	4.78	4.93	3.21	2.83	2.52	2.57	1.14	1.56	1.95	12.07	2.48	18.09	17.11	21.42	17.79	2.76	1.8
C1orf53	6.44	8.82	NA	NA	NA	4.49	7.08	4.18	2.61	1.98	0.63	7.02	4.93	4.81	6.33	7.56	6.21	2.99	4.14	3.67	0.52	2.38	1.53	2.67	2.24	5.11	11.79	9.02	0	4.02	1.78	3.2	3.42	0.58	0.76
SAMD5	1.43	0.75	0.16	0	0.05	NA	NA	NA	0	NA	NA	0.23	0.1	0.21	0.17	0.17	0.08	0.05	0.05	0.19	0.23	0.15	0.03	0	1.13	1.76	7.11	NA	0.28	5.37	3.49	0.61	0.97	0.33	0.24
GJE1	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	0.08	0	0	0.04	0.07	0.03	0.15	0.13	0	0.33	0.02	0.17	0.22	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ECT2L	0.21	0.06	0.88	1.55	1.29	0.52	0.66	NA	0	0.04	0.02	0	0	0	0	0	0	0.06	0.05	0	0	0	0	0	0	0.25	0	0.1	0.03	0.14	0.08	0.11	0.08	0.05	0
METTL11B	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.06	0	0	0	0	0	0
FAM229B	6.21	14.38	11.41	11.57	9.11	5.88	3.63	0	0.79	2.2	2.57	1.03	1.89	0.59	0.9	0.61	0.54	0.7	0.33	0.21	0.45	0.79	0.41	1.56	0.63	0.71	3.53	NA	0.69	1.69	3.38	2.29	0.73	0.51	0.91
FANK1	0	0.13	0.06	0.28	0.27	0	0	0.07	0.3	0.17	0.15	0	0.42	0.13	0	0.03	0	0.14	0	0.19	0	0.17	0.09	0	1.87	1.76	1.48	0.31	0.84	0	0	0.39	0	0.39	0.74
DIMT1	8.53	2.34	10.27	8.34	5.83	3.99	3.83	2	5.8	5.82	4.07	0.77	1.69	1.35	1.5	1.18	0.92	1.36	1.31	1.76	1.65	1.44	0.72	1	1.32	2.11	2.71	11.23	12.93	7.36	7.62	6.21	4	3.13	4.74
DDO	6.81	4.26	28.85	2.78	9.93	1.81	4.88	22.11	19.37	3.11	2.85	8.96	4.24	11.13	12.55	8.92	3.59	6.29	2.91	5.93	6.87	6.2	8.79	4.83	0.85	1.87	0.45	30.45	19.43	2.87	1.12	3.69	4.99	3.03	2.14
PLPP4	0.17	0.17	0.1	0.45	0.21	15.01	13.55	0	0.36	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	16.47	0.18	0.59	0.44	2.56	5
RBM20	0.95	0.09	0.13	0.21	0.23	0.71	0.34	0.07	4.57	0.16	0.05	0.78	0.81	0.58	0.16	0.79	0.21	0.32	0.53	0.27	0.06	0.05	0.09	0.03	0.06	0.34	0.18	0.41	0.07	0.77	4.48	0.71	2.36	0.07	0.03
IPO11	3.42	2.23	10.73	8.52	5.5	7.28	5.44	8.63	3.11	2.8	2.83	3.94	5.47	4.41	5.95	5.94	4.2	6.37	3.54	3.83	2.55	3.48	2.49	2.18	3.8	5.11	8.11	9	5.89	1.56	1.69	3.08	2.54	1.68	1.52
C6orf163	0.53	0.42	1.29	0.42	0.8	0.06	0.14	0	0	0.61	0.36	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.06	0	0.15	0.96	0.79	1.08	0.31	1.04	0.1
GDI1	31.82	13.1	45.53	76.33	85.97	NA	NA	NA	16.33	32.87	44.94	57.73	62	85.52	43.23	37.76	20.91	80.09	52.77	41.55	36.73	40.22	42.59	59.11	12.04	11.55	9.11	114.2	54.64	46.66	48.78	29.93	22.63	56.94	56.62
PCMTD2	13.82	6	24.43	15.36	17.16	15.44	3.51	9.97	33.03	3.61	5.09	26.59	18.98	24.42	19.12	21.77	10.94	5.54	4.04	5.42	4.91	5.44	4.11	4.44	11.28	14.59	30.94	26.37	3.39	7.36	7.6	9.23	7.85	6.96	3.65
SOX18	4.58	2.9	2.14	0.16	6.09	1.17	0.24	1.11	0.17	NA	NA	2.95	8.25	3.37	2.85	3.72	2.09	2.38	7.85	5.02	1.82	3.06	5.35	5.56	11.39	6.34	5.85	NA	NA	18.79	6.03	12.39	10.41	NA	NA
C1orf146	0	0	0.81	0.63	0.62	0	0	0.04	0	0	0	0.11	0.22	0.11	0.25	0.13	0.12	0.14	0.13	0.15	0.03	0.2	0.19	0	0	0	0.31	0	0	0	0	0	0	0	0
FOLH1	15.52	20.24	1.8	2.33	2.02	0.07	0.02	0.18	0.05	6.65	1.41	1.25	0	0.02	0.25	0.01	0	0	0	0	0	0	0	0	0.14	0.2	0.09	4.67	2.3	4.1	0.2	15.4	10.45	0	0.08
C10orf62	0.3	0.5	NA	NA	NA	NA	NA	0.8	1.35	0.33	1.84	4.24	5.14	3.3	11.78	9.54	2.79	0.09	1.26	0.48	3.07	2.06	2.42	5.07	0	0	0.56	NA	0.45	NA	NA	NA	NA	NA	NA
SAMD13	0	0.07	0.47	0	0.14	0.56	0.61	NA	0.13	0.42	0.58	0.23	0.14	0.18	0.04	0	0.02	0.09	0.19	0.06	0.41	0.32	0.35	0.35	0	0	0.05	1.69	NA	0.18	0.29	0	0.1	0.73	0.21
CCDC160	0.06	0	0	0.07	0.04	NA	NA	0.12	2.83	0.15	0.04	0.35	0	0.23	0.08	0.05	0.1	0.12	0	0	0	0.2	0.05	0	0.78	0.89	0.74	NA	0.24	0.1	0	0	0	0	0
EFCAB7	0.07	0.48	3.88	2.04	1.2	1.65	1.22	0.75	3.87	1.33	0.7	0.13	0.66	0.4	0.44	0.45	0.65	0.22	0.49	0.69	1.48	1.18	1.66	0.17	0.59	1.18	2.92	4.61	135.02	1.15	0.66	0.87	0.99	0.23	0.33
GLYATL3	0.2	0.27	96.3	81.39	76.14	0.28	0	0	0	0.34	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82	33.71	21.31	0	0	0.58	0.03	0.14	0.03	0.38	0
ZYG11A	0.55	0.36	0	0	0.01	1.07	0.23	0.43	0.28	0.04	0.08	1.07	9.61	4.27	6.52	2.96	2.91	0.08	0.18	0.25	0	0	0	0	7.91	13.83	7.56	0.38	0.04	0.76	1.89	0.7	0.95	0.64	0.27
EIF2AK1	46.17	21.36	20.43	28.69	22.14	52.86	31.33	9.15	18.09	19.46	17.35	11.59	13.26	13.92	19.8	20.94	10.78	12.33	7.28	7.88	8.3	8.43	9.3	8.01	12.63	13.33	24.4	15.22	50.45	34.84	42.53	33.59	30.9	24.78	17.21
GLT6D1	0.05	0	0	0.15	0.02	NA	NA	0.02	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	NA	NA	0	0	0	0	0	0
LRIT2	0.02	0.02	0	0	0	0.05	0	0	NA	0	0	0.02	1.53	2.21	2.47	3.79	0.91	0.02	0.05	0.03	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0
LRRC73	0.07	0.05	0	0	0.08	0.15	0.34	0	2.14	0.09	0.05	0.14	0.26	0.06	0.13	0.05	0.07	0.05	0.1	0.07	0	0	0.15	0.11	1.21	0.14	0.85	0.47	0.12	0	0.06	0.05	0	0.53	0.31
NME8	0.04	0.26	0	0.06	0.08	0	0	0.05	0	0.34	0.17	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0.03	0.05	0.15	0.04	0.38	0	0
FOXO6	0.46	0.07	0	0	0.03	0	0	0	0	0.22	0.26	0.03	0	0.02	0	0.02	0	0.02	0	0	0	0.06	0.16	0.06	0	0.46	0.24	0	NA	NA	NA	NA	NA	0	0
MAFB	53.04	12.49	40.16	22.89	123.01	NA	NA	3.79	12.7	7.46	14.48	61.64	39.39	29.4	31.35	38.78	13.52	13.58	22.74	8.05	5.31	1.84	18.54	21.6	48.66	152.13	41.5	45.21	32.46	50.71	19.95	13.59	10.22	78.83	51.96
TRAF3IP1	9.51	1.72	2.86	3.81	3.78	17.15	10.68	1.11	2.4	1.01	1.83	4.76	4.99	4.51	7.51	5.09	2.81	3.78	2.34	3.51	1.13	1.3	1.39	2.2	4.84	5.86	3.03	3.65	6.87	4.93	9.02	2.27	1.61	3.44	3.18
GIGYF2	13.06	3.52	18.03	17.01	20.41	11.92	6.16	8.23	4.96	5.68	6.51	20.96	23.83	29.5	22.22	16.32	9.57	18.23	14.51	12.34	10.5	6.48	7.34	10.65	5.47	9.97	5.2	17.64	18.2	7.52	8.43	5.39	5.32	11.09	8.81
EPDR1	3.55	1.09	0.17	0	0	8.67	3.85	0	10.89	2.83	3.03	0.06	0.3	0.12	0.07	0.14	0.03	0.13	0.23	0	0.2	0.99	0.7	0.37	54.9	48.33	34.17	4.62	0.89	2.64	9.84	3.1	2.89	0.86	4.04
NHSL2	0.18	0.1	0.69	1.42	1.01	0.05	0	0.66	0.05	1.2	0.3	0.22	1.07	0.61	0.66	0.18	0.16	0.25	0.24	0.17	0.15	0.26	0.14	0.19	0.91	0.86	0.24	1.69	1.1	0.54	0.17	0.83	0.31	0.53	0.39
PHACTR4	8.07	5.49	19.09	20.91	19.14	11.97	3.59	11.73	9.13	4.46	9.02	27.72	13.82	28.01	11.8	11.95	4.42	7.51	23.54	10.76	6.51	6.16	12.9	19.17	8.3	11.69	8.39	14.58	9	14.25	12.65	10.83	10.05	8.43	1.79
ZDHHC18	15.3	6.32	7.35	9.27	13.74	4.69	2.15	3.67	5.36	4.6	5.1	9.21	12.16	14.18	8.07	13.17	5.05	7.67	12.84	9.73	3.2	2.08	2.92	3.07	4.06	3.6	1.46	5.15	6.6	NA	NA	NA	NA	4.49	1.96
GPRIN2	0.25	0.04	0.55	0.73	3.25	0.07	0	0	0.22	0.03	0.03	0	0	0	0	0.01	0	0.16	0.17	0.18	0	0	0	0	0.59	0.28	0.38	0.11	0.08	0	0.05	0.08	0.05	NA	NA
SNX10	8.46	3.9	41.96	24.17	27.52	9.44	17.34	4.82	14.7	14.63	15.81	15.92	16.87	24.85	28.29	9.42	9.74	3.76	4.34	2.97	0.57	0.57	0.43	0.33	1.19	2.28	1.83	48.89	8.62	14.08	24.39	11.7	10.55	7.02	3.17
TMEM57	18.22	13.4	34.08	31.73	18.15	33.24	25.07	22.17	15.45	12.04	15.24	17.95	16.8	27.25	25.53	16.94	14.25	14.3	7.13	10.73	6.3	5.69	6.42	7.74	7.29	10.62	12.9	27.49	25.61	10.79	24.77	14.07	11.36	11.32	8.5
ZDBF2	0.2	0.1	0.15	0.11	0.22	0.01	0.03	0.02	1.14	0.34	0.61	0	0.02	0	0	0	0	0	0	0	0	0	0	0	3.36	4.91	6.46	0.02	0.02	1.15	0.91	1.29	1.09	0.17	0.87
TXNDC8	0	0	0	0.23	0.12	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	13.87	17.15	35.71	NA	0	0	0	0	0	0	0
AWAT1	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0.28	0	0	0	0	1.04	1.56	1.69	0	0.67	0	0	0	0	0	0
DAXX	3.52	4.76	21.21	23.46	29.31	16.56	17.4	2.73	NA	11.43	11.36	8.82	12.46	10.87	12.11	11.4	4.75	7.39	7.13	9	4.11	5.94	9.85	7.35	8.64	13.61	6.48	12.9	13.02	14.98	38.64	10.39	10.01	13.8	15.96
BMPR2	2.16	1.15	5.66	8.78	5.82	5.21	0.78	7.24	1.95	3.95	3.1	5.58	7.38	8.32	0.88	0.93	0.84	0.85	1.51	1.57	1.41	1.58	1.08	1.32	9.46	18.24	3.69	17.27	27.7	10.09	4.87	6.33	4.37	6.82	3.64
TCEA3	97.44	83.83	25.06	19.88	22.39	37.92	13.19	193.33	65.57	91.84	82.56	43.47	61.16	72.46	48.05	80.94	36.05	59.4	38.34	44.12	57.38	52.61	61.71	63.37	58.64	71.17	69.05	116.24	11.8	109.11	34.93	82.89	107.88	47.75	17.15
PFDN6	11.98	7.56	66.51	57.44	67.9	102.88	92.78	117.45	32.3	49.79	61.27	46.69	48.29	56.58	39.84	50.22	32.17	52.25	40.69	55.65	24.13	20.59	31.01	28.69	53.15	68.72	47.53	60.22	90.33	57.78	90.28	44.55	37.37	16.2	21.65
RING1	0.03	1.32	23.35	37.37	59.96	29.66	24.45	35.01	35.89	22.34	45.73	10.36	15.07	10.25	13.16	16.08	5.82	15.7	14.07	15.18	8.82	8.29	11.86	11.41	55.05	56.08	39.66	61.51	18.94	51.26	59.21	26.67	27.31	31.83	14.05
HSD17B8	11.88	7.67	53.52	58.68	51.31	58.51	74.77	52.14	NA	49.15	47.62	101.92	101.92	140.86	78.08	112.21	80.32	57.61	44.32	52.77	70.04	61.87	80.38	81.26	97.56	101.62	83.75	NA	43.35	100.96	49.04	40.98	62.06	55.69	53.56
RXRB	7.46	0.45	8.28	13.1	19.97	25.55	18.81	8.6	12.44	12.64	17	26.32	33.36	26.69	26.73	28.65	11.75	18.02	13.28	28.7	13.06	14.4	22.42	16.87	13.04	16.45	12	17.59	14.34	17.69	12.15	12.52	11.39	24.34	12.14
COL11A2	0.05	0.08	0.22	0.17	0.26	0.69	0.27	0.64	0.03	1.5	0.18	1.32	0.79	0.35	1.19	0.48	0.15	0.15	0.18	0.05	0.12	0.08	0.06	0	0.09	0.18	0.05	0.59	0.04	1.58	0.11	1.43	1.11	0.29	0.31
BRD2	11.63	11.85	66.73	82.08	85.6	94.74	34.86	34.22	58.05	26.96	28.52	44.96	65.52	92.34	61.13	52.55	25.38	49.38	76.14	40.29	30.48	28.79	65.27	59.87	37.29	96.97	37.02	59.51	52.39	61.47	58.04	25.93	25.53	60.04	35.36
COL5A2	2.77	2.42	8.26	8.03	6.08	7.85	4.82	2.72	0.98	7.1	5.44	0.44	1.24	0.92	0.8	0.75	0.25	0.66	0.61	1.36	0.18	0.21	0.41	0.29	1.78	0.82	1.01	2.69	8.11	2.47	2.01	1.89	3.37	2.69	3.31
PSMB8	1.6	5	35.73	42	45.39	9.47	12.97	27.61	6.63	94.39	95.85	90.82	33.58	58.87	49.77	31.87	25.46	62.37	38.22	62.02	69.05	99.17	78.81	63.04	47.05	82.18	122.53	18.6	24.67	134.56	767.12	188.91	213.29	37.28	60.79
MRPL28	50.71	40.93	32.05	45.04	86.36	54.01	56.9	71.38	NA	36.67	46.29	38.44	50.51	41.11	62.79	67.86	44.41	49.18	37.49	45.09	56.94	55.64	73.67	81.77	37.65	47.96	79.08	110.81	NA	NA	NA	NA	NA	52.88	57.59
NOTCH4	3.02	0.4	0.93	2.05	2.81	2.95	1.16	0.56	NA	6.37	2.83	3.7	4.01	2.07	1.53	0.96	0.4	0.79	1.93	1.07	1.73	1.01	1.99	2.77	4.44	3.91	0.88	2.66	2.63	7.66	0.78	5.3	3.66	2.35	5.37
PAFAH1B1	16.11	8.2	30.13	26.63	21.67	29.56	19.08	21.23	12.29	21.97	14.96	19.11	18.02	19.23	16.82	16.01	13.87	22.6	8.07	14.54	10.02	14.17	10.01	9.15	18.23	27.07	36.77	32.26	NA	11.74	16.56	11.94	13.6	14.12	15.34
PBX2	0.91	0.27	13.7	19.6	29.23	14.91	7.88	8.51	9.02	10.54	11.8	13.11	16.77	10.28	14.13	14.2	6.5	12.36	10.24	9.83	14.86	9.15	19.59	17.76	24.6	25.54	20.37	18.09	24.18	14.66	21.53	15.05	14.5	22.62	13.84
AGER	0.09	0.06	1.62	2.48	1.85	0.37	0.87	0.68	1.36	1.97	2.61	0.48	0.2	0.4	0.22	0.3	0.16	0.05	0.32	0.07	0.13	0.37	1.03	0.54	0.35	0.89	0.38	0.26	1.43	2.1	3.67	3.27	5.18	9.93	7.62
RNF5	18.91	5.11	52.92	68.85	62.36	20.17	11.84	26.1	9.41	35.93	61.64	53.56	57.01	69.17	87.95	72.83	53.97	53.16	65.81	110.54	90.86	77.38	145.68	103.61	54.18	82.08	32.76	NA	68.37	99.75	68.32	47.56	54.89	40.57	43.14
AGPAT1	20.52	6.01	9.42	14.31	19.58	19.34	9.94	3.97	2.12	21.45	30.27	13.84	14.66	14.32	14.35	11.44	4.19	13.08	19.96	14.67	29.77	14.85	63.31	39.38	4.09	4.47	1.21	14.22	11.46	38.12	23.51	20.32	24.17	15.16	7.92
PJVK	0.69	1.49	0	0	0.06	3.57	4.99	0.1	0.18	0.32	0.38	0	0.1	0.08	0	0.01	0.06	0	0	0.08	0	0	0	0	0.11	0.11	0.03	0	0.14	0.82	0.81	1.24	1.11	2.5	1.88
PRRT1	1.17	0.07	0.04	0.09	0.2	0.27	0.29	2.67	0.17	0.48	0.28	0.62	0.5	0.42	0.23	0.21	0.09	0.1	0.14	0.15	0.22	0.27	0.74	0.99	0.51	1.59	0.12	0	0.07	0.78	0.32	2.21	0.57	0.92	1.31
MRPL38	54.93	31.28	19.72	25.07	48.97	31.55	22.66	43.24	43.35	18.58	24.57	54.57	61.53	56.39	74.65	68.97	45.98	36.84	49.61	41.67	34.02	29.43	45.26	51.13	31.75	41.01	38.15	59.13	41.33	31.53	32.95	19.79	22.82	7.26	8.87
ERICH2	0.39	0.7	1.99	5.05	2.06	0.57	0.41	0	0.98	1.36	2.21	0	0.15	0	0	0.01	0.01	0.04	0	0	0	0.09	0	0	0	0	0.45	0.65	0.21	0	3.98	3.15	1.67	0.16	0.48
ITPKC	4.92	2.78	5.38	11.59	11.89	5.26	4.01	5.13	12.98	4.95	4.38	2.63	6.71	5.62	4.37	3.93	1.91	2.12	1.8	2.16	0.68	1.18	1.32	1.58	4.59	6.3	2.63	6.66	6.91	5.87	11.31	3.2	5.29	3.23	4.64
SP5	3.14	1.67	1.96	0.08	6.91	0.18	0.21	2.61	0.15	0.51	1.4	1.16	1.65	0.78	1.62	2.21	0.6	2.19	3.21	3.41	1.17	0.85	2.57	2.8	1.9	4.48	5.31	4.18	NA	0.22	0.12	0.08	0	0.31	0.08
STK19	3.18	1.11	30.73	53.37	79.99	9.07	13.62	13.57	20.22	10.51	10.67	25.79	20.96	12.6	23.46	17	16.52	15.7	10.81	10.21	9.69	10.33	15.03	12.5	8.17	11.27	4.37	NA	NA	10.14	23.49	9.89	9.62	10.99	11.17
BTBD17	0	0	0	0	0.08	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0.09	0	0	0	0.3	0.08	0.53	0.08	0	0
DXO	4.76	2.89	4.71	9.66	9.48	20.89	16.12	25.73	7.79	5.66	4.48	26.41	39.22	19.38	38.21	26.06	17.44	33.76	36.36	29.46	20.69	18.4	42.01	43.81	7	8.44	4.29	37.84	3.7	5.93	10.47	5.77	4.61	9.37	6.87
SKIV2L	3.53	2.46	11.23	14.71	23.9	20.86	16.62	9.43	NA	11.63	15.33	35.2	41.97	37.27	37.61	43.55	13.21	21.2	11.39	17.24	18.26	16.41	21.42	17.69	13.31	18.82	11.07	27.23	14.51	15.82	14.4	9.02	9.1	8.5	4.84
EHMT2	0.64	0.68	10.37	14.37	17.47	13.35	7.67	7.6	4.06	7.6	10.36	40.75	46.49	40.15	37.1	44.93	19.99	39.66	22.93	29.02	27.74	25.97	43.94	46.26	36.03	34.97	15.99	31.92	15.84	17.06	8.93	8.58	7.51	9.36	2.89
FAT2	0.03	0.01	0.05	0.01	0.05	0.12	0.05	0	0.09	0.03	0.04	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.02	0.06	0.05	0.08	1.06	0	0.03	0.01
LAYN	0.94	0.35	3.24	3.41	2.71	0.99	1.03	0.05	1.25	3.6	1.65	0.48	0.47	0.89	0.5	0.36	0.55	0.26	0.08	0.16	0	0.13	0.16	0.08	20.12	8.13	26.68	0.99	1.1	1.14	0.88	2.15	1.14	3.32	4.42
SLC44A4	0	0.02	0.44	0.52	0.73	1.49	1.31	0.67	0.71	0.47	0.38	0.03	0.11	0.36	0.24	0.13	0.15	0.14	0.06	0.09	0.13	0.24	0.16	0	0.11	0.42	0.49	0.69	0.81	3.79	2.85	2.97	3.45	1.52	1.7
NEU1	2.22	1.15	7.79	15.58	12.13	18.31	14.43	18.31	20.46	22.14	20.06	19.93	21.45	16.54	43.06	28.03	16.59	10.63	8.93	9.17	10.55	9.12	11.55	14.25	7.54	10.06	11.83	46.6	23.81	21.12	28.07	19.05	30.83	NA	NA
VWA7	0.31	0.25	0.15	0.52	1.36	2.75	0.8	0.27	0.04	1.06	1.96	0.22	0.03	0.14	0.15	0.12	0.09	0.78	0.3	0.46	0.03	0	0.09	0	0.05	0.15	0.02	0.16	2.28	1.21	0.12	0.44	1.22	4.94	3.38
MBD5	6.29	1.86	1.17	1.57	0.82	0.6	0.16	1.46	0.98	1.09	0.66	4.23	3.88	4.32	2.72	2.26	1.85	1.3	2.86	1.23	1.68	1.73	1.34	2.72	2.66	3.67	3.14	3.2	1.05	0.41	0.28	0.53	0.85	1.09	0.38
MPIG6B	0	0	0.18	0.71	0.38	0.37	0	0.17	0.64	0.53	0.39	0.03	0.05	0.08	0	0.04	0.01	0.06	0.06	0.04	0	0	0.06	0	0.43	0	0.08	0	NA	6.43	3.44	3.47	4.15	0	0.74
